Age,Country,Party,EPG,Vote
56,Latvia,Droite,IDG,0
70,Spain,Droite,ECR,0
51,United Kingdom,Centre-droit,Greens/EFA,1
55,United Kingdom,Centre-droit,Greens/EFA,1
35,France,Droite,IDG,0
61,Belgium,Droite,IDG,0
63,Estonia,Centre,REG,0
53,Belgium,Centre-droit,S&D,1
49,Spain,Droite,EPP,0
48,Poland,Centre,EPP,1
55,Greece,Gauche,The Left,1
30,France,Gauche,The Left,1
74,Denmark,Gauche,Greens/EFA,1
56,Lithuania,Centre,REG,0
43,Netherlands,Centre,REG,0
49,Italy,Droite,IDG,0
46,Poland,NA,S&D,1
24,France,Droite,IDG,0
52,Italy,Droite,IDG,0
36,Netherlands,Droite,EPP,0
43,Poland,NA,S&D,1
58,Spain,Centre,REG,0
44,Slovakia,Centre,EPP,0
52,France,Centre-droit,Greens/EFA,1
47,Italy,Droite,IDG,0
33,Germany,Gauche,Greens/EFA,1
31,Germany,Centre-droit,Greens/EFA,1
33,France,Gauche,The Left,1
39,Italy,Droite,IDG,0
39,Belgium,Gauche,The Left,1
33,Romania,Centre,REG,1
68,Belgium,Centre,ECR,0
42,Germany,Gauche,Greens/EFA,1
52,Slovenia,Centre-droit,S&D,1
34,Belgium,Gauche,Greens/EFA,1
78,Germany,Centre-droit,Greens/EFA,0
49,Romania,Centre,EPP,0
41,Romania,Centre,EPP,0
66,Germany,Gauche,Greens/EFA,1
44,Spain,Droite,ECR,0
50,Spain,Centre,REG,0
59,France,Centre-droit,Greens/EFA,1
42,Ireland,Gauche,None,1
51,Malta,Droite,EPP,0
49,Italy,Droite,IDG,0
37,Germany,Gauche,Greens/EFA,1
32,Italy,Droite,IDG,0
30,Portugal,Centre-droit,S&D,0
37,France,Gauche,The Left,1
55,Belgium,Centre,REG,0
44,United Kingdom,Centre-droit,Greens/EFA,1
56,Cyprus,Centre,EPP,0
51,Italy,Droite,IDG,0
45,France,Centre-droit,Greens/EFA,1
56,Ireland,Centre-droit,Greens/EFA,1
61,Netherlands,Centre,EPP,0
51,Ireland,Droite,The Left,0
48,France,Droite,EPP,0
66,Italy,Droite,IDG,0
49,United Kingdom,Droite,NI,0
42,France,Centre-droit,Greens/EFA,1
42,Hungary,Droite,NI,0
40,France,Centre-droit,Greens/EFA,1
43,United Kingdom,Droite,NI,0
64,Belgium,Droite,IDG,0
35,Germany,Gauche,The Left,1
43,Germany,Gauche,Greens/EFA,1
56,Belgium,Centre-droit,Greens/EFA,1
43,Czech Republic,Centre,REG,0
61,United Kingdom,Centre,NI,0
50,Italy,NA,NI,0
50,Italy,Centre,EPP,0
40,Bulgaria,Droite,ECR,0
43,Netherlands,Centre-droit,Greens/EFA,1
41,Sweden,Centre,REG,0
54,Germany,Centre-droit,EPP,0
41,Portugal,Droite,The Left,1
43,Italy,Droite,ECR,0
47,Croatia,Centre-droit,REG,0
62,Poland,Centre,ECR,0
53,Germany,Gauche,Greens/EFA,1
35,Germany,Gauche,Greens/EFA,1
59,Sweden,Centre-droit,S&D,1
31,Austria,Centre,REG,0
47,Italy,Droite,IDG,0
51,Germany,Gauche,Greens/EFA,1
56,Cyprus,Gauche,The Left,1
45,Greece,Gauche,The Left,1
55,Spain,Droite,EPP,0
55,Italy,Droite,IDG,0
26,Czech Republic,Centre-droit,Greens/EFA,1
43,Portugal,Gauche,The Left,1
42,Hungary,Centre,NI,0
47,Hungary,Droite,NI,0
52,Austria,Droite,IDG,0
37,Luxembourg,Centre,EPP,0
51,Netherlands,Gauche,The Left,1
30,United Kingdom,Droite,NI,0
53,Austria,Centre-droit,S&D,1
45,Poland,Centre,EPP,0
57,United Kingdom,Centre,REG,0
71,Poland,Centre,EPP,0
40,Finland,Droite,IDG,0
56,Netherlands,Centre,REG,0
52,France,Centre-droit,Greens/EFA,1
62,France,Droite,IDG,0
58,France,Droite,IDG,0
57,Estonia,Centre-droit,S&D,1
44,Bulgaria,Centre,EPP,1
38,Germany,Gauche,Greens/EFA,1
53,Poland,Droite,ECR,0
29,Denmark,Droite,IDG,0
39,Czech Republic,Centre-droit,Greens/EFA,1
52,Poland,Centre,ECR,0
44,Hungary,Droite,NI,0
57,Greece,Gauche,The Left,1
39,Czech Republic,Centre,REG,0
52,Bulgaria,Centre-droit,EPP,0
66,Poland,Centre,ECR,0
48,Sweden,Centre-droit,Greens/EFA,1
63,Poland,Centre,ECR,0
34,Greece,Centre,EPP,0
44,Netherlands,Droite,EPP,0
61,France,Droite,IDG,0
42,France,Droite,IDG,0
35,Netherlands,Droite,EPP,0
52,Italy,Droite,IDG,0
55,France,Centre,REG,0
49,Spain,Droite,EPP,0
60,Ireland,Centre,EPP,0
65,United Kingdom,Centre,ECR,0
30,United Kingdom,Centre-droit,Greens/EFA,1
61,Lithuania,NA,EPP,1
40,Austria,Centre-droit,EPP,0
61,France,Droite,IDG,0
32,Germany,Gauche,Greens/EFA,1
65,Portugal,Centre-droit,S&D,1
43,Portugal,Centre-droit,S&D,0
43,Portugal,Gauche,The Left,1
52,Poland,Centre,ECR,0
40,Malta,Droite,EPP,0
64,Germany,Gauche,The Left,1
62,Bulgaria,Centre,REG,0
49,Romania,Centre,EPP,0
44,Poland,Centre,ECR,0
57,Germany,Centre,REG,0
55,United Kingdom,Droite,NI,0
38,Romania,Centre,EPP,0
72,Spain,NA,REG,0
70,Germany,Centre-droit,S&D,1
78,United Kingdom,Centre,REG,0
27,Germany,Gauche,Greens/EFA,1
43,Finland,Centre-droit,Greens/EFA,1
34,Greece,Centre,NI,1
52,Germany,Centre-droit,S&D,1
60,Slovenia,Centre,EPP,0
31,Bulgaria,Centre-droit,EPP,0
41,Germany,Centre,REG,0
58,France,Droite,IDG,0
50,France,Gauche,The Left,1
54,Spain,Centre,REG,0
44,Greece,Centre,NI,1
64,Greece,Gauche,The Left,1
43,France,Gauche,The Left,1
42,Portugal,Droite,The Left,1
21,Denmark,Gauche,Greens/EFA,1
34,United Kingdom,Centre-droit,Greens/EFA,1
36,United Kingdom,Droite,NI,0
43,Italy,Droite,ECR,0
59,United Kingdom,Droite,NI,0
64,Poland,Centre,ECR,0
51,Portugal,Droite,EPP,0
32,Germany,Gauche,Greens/EFA,1
60,Belgium,Centre,REG,0
73,France,Centre,REG,0
55,France,NA,NI,0
56,Spain,Centre,REG,0
50,Netherlands,Droite,ECR,0
53,Netherlands,Droite,ECR,0
51,France,Centre-droit,Greens/EFA,1
58,France,Droite,IDG,0
53,United Kingdom,Droite,NI,0
47,Netherlands,Droite,ECR,0
58,Poland,Centre,ECR,0
46,Italy,Droite,EPP,0
71,Malta,Centre-droit,S&D,1
44,Germany,Gauche,The Left,1
65,Germany,Gauche,The Left,1
46,Germany,Centre,EPP,0
56,United Kingdom,Centre-droit,Greens/EFA,1
59,Bulgaria,Droite,ECR,0
48,Spain,Centre,REG,0
69,Italy,Droite,ECR,0
58,Slovakia,Centre,EPP,0
56,Poland,Centre,ECR,0
56,Belgium,Centre-droit,S&D,1
33,United Kingdom,Droite,NI,0
61,Spain,Droite,ECR,0
55,United Kingdom,Droite,NI,0
45,Italy,Centre-droit,S&D,0
41,Sweden,Centre,EPP,0
69,Italy,Centre-droit,S&D,0
61,Croatia,Droite,ECR,0
74,Finland,Centre,REG,0
37,Spain,Gauche,Greens/EFA,1
50,Austria,Centre-droit,Greens/EFA,1
41,Belgium,Droite,IDG,0
30,Netherlands,Centre-droit,Greens/EFA,1
47,Belgium,Centre,REG,0
39,Spain,Droite,The Left,1
36,Denmark,Gauche,The Left,1
56,Germany,Centre,EPP,0
62,United Kingdom,Centre-droit,S&D,1
62,Poland,Centre,ECR,0
47,Germany,Centre-droit,EPP,0
37,Sweden,Droite,ECR,0
62,Germany,Centre,EPP,0
57,Austria,Centre-droit,Greens/EFA,1
48,France,Centre-droit,REG,1
54,Poland,Centre,ECR,0
33,Italy,Droite,IDG,0
59,Spain,Droite,EPP,0
40,Czech Republic,Centre,EPP,0
66,Germany,Droite,IDG,0
57,Slovenia,Droite,EPP,0
