Age,Country,Party,EPG,Vote
41,Italy,Droite,EPP,1
31,Malta,Centre-droit,S&D,1
70,Spain,Droite,ECR,0
55,Spain,Centre-droit,S&D,1
51,United Kingdom,Centre-droit,Greens/EFA,1
43,Sweden,Centre,REG,0
67,Bulgaria,Droite,EPP,0
66,France,Gauche,Greens/EFA,1
38,Bulgaria,Centre,REG,0
55,United Kingdom,Centre-droit,Greens/EFA,1
66,Portugal,Droite,EPP,0
51,Germany,Droite,IDG,0
57,United Kingdom,Gauche,None,1
40,Greece,Centre-droit,S&D,1
66,Hungary,Centre-droit,S&D,1
53,Belgium,Centre-droit,S&D,1
49,Spain,Droite,EPP,0
45,Belgium,Centre,EPP,0
48,Poland,Centre,EPP,0
46,Romania,Centre,REG,0
55,Greece,Gauche,The Left,1
52,Greece,Centre,EPP,0
30,France,Gauche,The Left,1
74,Denmark,Gauche,Greens/EFA,1
56,Lithuania,Centre,REG,0
53,Romania,Centre-droit,S&D,1
43,Netherlands,Centre,REG,0
46,Poland,NA,S&D,1
51,Germany,Centre-droit,S&D,1
54,Spain,Gauche,The Left,1
63,Italy,Centre-droit,S&D,1
68,Romania,Centre,EPP,0
49,Spain,Centre,REG,0
54,Germany,Droite,IDG,0
49,Germany,Centre,REG,0
48,Italy,Centre,NI,1
67,Poland,NA,S&D,1
34,France,Droite,EPP,0
44,Romania,Centre-droit,S&D,1
33,Italy,Centre-droit,S&D,1
37,Spain,Droite,EPP,0
43,Germany,Centre,EPP,0
36,Netherlands,Droite,EPP,0
53,Germany,Droite,ECR,0
54,Sweden,Centre-droit,S&D,1
27,Austria,Centre-droit,EPP,0
43,Poland,NA,S&D,1
45,Poland,NA,ECR,0
58,Spain,Centre,REG,0
44,Slovakia,Centre,EPP,0
58,Germany,Centre-droit,S&D,1
52,France,Centre-droit,Greens/EFA,1
47,Sweden,Gauche,The Left,1
63,Romania,Centre,EPP,0
59,Lithuania,Centre-droit,S&D,1
33,Germany,Gauche,Greens/EFA,1
41,Hungary,Droite,NI,0
31,Germany,Centre-droit,Greens/EFA,1
45,Romania,Centre,EPP,0
56,Slovenia,Centre,EPP,0
33,France,Gauche,The Left,1
46,Italy,Centre-droit,S&D,1
48,Croatia,Centre-droit,S&D,1
39,Belgium,Gauche,The Left,1
48,France,NA,REG,0
42,Germany,Gauche,Greens/EFA,1
34,Belgium,Gauche,Greens/EFA,1
56,United Kingdom,Centre,REG,0
51,Poland,Centre,ECR,0
60,France,Centre,REG,0
36,Germany,Droite,IDG,0
78,Germany,Centre-droit,Greens/EFA,1
49,Romania,Centre,EPP,0
50,United Kingdom,Droite,NI,0
27,Germany,Centre-droit,S&D,1
49,Germany,NA,NI,1
66,Germany,Gauche,Greens/EFA,1
44,Spain,Droite,ECR,0
79,Poland,Centre,EPP,0
46,Italy,Centre,REG,1
50,Spain,Centre,REG,0
45,France,Centre,REG,0
59,France,Centre-droit,Greens/EFA,1
42,Ireland,Gauche,None,1
46,Portugal,Centre-droit,S&D,1
64,Portugal,Droite,EPP,0
51,Malta,Droite,EPP,0
34,Italy,Centre,NI,1
67,Spain,Droite,EPP,0
30,Portugal,Centre-droit,S&D,1
57,France,Centre,REG,0
34,Netherlands,Centre-droit,S&D,1
37,France,Gauche,The Left,1
44,Czech Republic,Centre,REG,0
55,Belgium,Centre,REG,0
65,Italy,Centre-droit,S&D,1
44,United Kingdom,Centre-droit,Greens/EFA,1
61,Denmark,Centre,REG,0
56,Cyprus,Centre,EPP,1
69,Poland,Gauche,S&D,1
50,Romania,Centre-droit,S&D,1
65,Slovakia,Centre-droit,S&D,1
54,France,Centre,EPP,0
64,United Kingdom,Centre-droit,S&D,1
45,France,Centre-droit,Greens/EFA,1
35,Italy,NA,Greens/EFA,1
57,Italy,Centre-droit,S&D,1
31,Hungary,Centre,REG,0
56,Ireland,Centre-droit,Greens/EFA,1
30,Malta,Centre-droit,S&D,1
56,Poland,Centre,ECR,0
61,Netherlands,Centre,EPP,0
43,Malta,Centre-droit,S&D,1
51,Ireland,Droite,The Left,1
50,Italy,NA,Greens/EFA,1
38,United Kingdom,Centre-droit,S&D,1
37,Sweden,Centre-droit,S&D,1
48,France,Droite,EPP,0
49,United Kingdom,Droite,NI,0
61,Italy,Centre-droit,S&D,1
35,France,Centre,REG,0
42,France,Centre-droit,Greens/EFA,1
42,Hungary,Droite,NI,0
40,France,Centre-droit,Greens/EFA,1
43,United Kingdom,Droite,NI,0
35,Germany,Gauche,The Left,1
43,Germany,Gauche,Greens/EFA,1
56,Belgium,Centre-droit,Greens/EFA,1
53,Hungary,Droite,NI,0
69,United Kingdom,Centre,REG,0
43,France,Droite,EPP,0
43,Czech Republic,Centre,REG,0
47,Hungary,Centre-droit,S&D,1
31,Germany,Centre-droit,EPP,0
50,Italy,Centre,EPP,0
57,United Kingdom,Centre-droit,Greens/EFA,1
55,Poland,Centre,EPP,0
33,Germany,Centre,EPP,0
43,Slovakia,NA,REG,0
38,Austria,Centre-droit,EPP,0
56,Germany,Centre,EPP,0
61,Netherlands,Droite,ECR,0
63,Germany,Gauche,The Left,1
37,Germany,Centre,REG,0
44,Germany,Centre-droit,S&D,1
54,Spain,Droite,EPP,0
60,United Kingdom,Centre-droit,Greens/EFA,1
36,Italy,Centre-droit,Greens/EFA,1
49,France,Droite,EPP,0
48,Slovenia,Centre-droit,S&D,1
52,Romania,Centre,EPP,0
53,France,Centre,REG,0
54,Germany,Centre-droit,EPP,0
52,Portugal,Droite,EPP,0
40,Spain,Centre-droit,S&D,1
56,Italy,Centre-droit,S&D,1
36,Italy,Centre,NI,1
41,Portugal,Droite,The Left,1
57,Germany,Droite,IDG,0
55,Italy,Droite,ECR,0
50,Italy,Droite,ECR,0
69,Ireland,Centre,EPP,0
47,Ireland,NA,The Left,1
47,Croatia,Centre-droit,REG,0
57,United Kingdom,Droite,ECR,0
62,Poland,Centre,ECR,0
50,Cyprus,Centre,EPP,1
