Age,Country,Party,EPG,Vote
46,Poland,Independent,EPP,2
51,Bulgaria,Citizens for European Development of Bulgaria,EPP,2
41,Italy,Forza Italia,EPP,1
56,Italy,Lega,IDG,1
31,Malta,Partit Laburista,S&D,1
70,Spain,Vox,ECR,2
55,Spain,Partido Socialista Obrero Español,S&D,1
51,United Kingdom,Green Party,Greens/EFA,1
43,Sweden,Centerpartiet,REG,1
67,Bulgaria,Union of Democratic Forces,EPP,2
66,France,Régions et Peuples Solidaires,Greens/EFA,1
38,Bulgaria,Movement for Rights and Freedoms,REG,1
55,United Kingdom,Scottish National Party,Greens/EFA,1
66,Portugal,Partido Social Democrata,EPP,2
58,Latvia,Gods kalpot Rīgai,S&D,1
51,Germany,Alternative für Deutschland,IDG,1
57,United Kingdom,Sinn Féin,None,1
33,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
35,France,Rassemblement national,IDG,1
40,Greece,PASOK-KINAL,S&D,1
61,Belgium,Vlaams Belang,IDG,1
63,Estonia,Eesti Reformierakond,REG,1
66,Hungary,Demokratikus Koalíció,S&D,1
53,Belgium,Parti Socialiste,S&D,1
49,Spain,Partido Popular,EPP,2
45,Belgium,Christlich Soziale Partei,EPP,1
48,Poland,Platforma Obywatelska,EPP,2
46,Romania,Uniunea Salvați România,REG,1
55,Greece,Coalition of the Radical Left,The Left,1
52,Greece,Nea Demokratia,EPP,2
30,France,La France Insoumise,The Left,1
56,Lithuania,Lietuvos Respublikos liberalų sąjūdis,REG,1
53,Romania,Partidul Social Democrat,S&D,1
43,Netherlands,Volkspartij voor Vrijheid en Democratie,REG,1
49,Italy,Lega,IDG,1
46,Poland,,S&D,1
24,France,Rassemblement national,IDG,1
51,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
54,Spain,EH BILDU,The Left,1
63,Italy,Partito Democratico,S&D,1
68,Romania,Partidul Mișcarea Populară,EPP,2
52,Italy,Lega,IDG,1
49,Spain,Ciudadanos – Partido de la Ciudadanía,REG,1
42,France,,NI,1
70,United Kingdom,Liberal Democrats,REG,1
54,Germany,Alternative für Deutschland,IDG,1
49,Germany,Freie Demokratische Partei,REG,1
48,Italy,Movimento 5 Stelle,NI,1
39,France,Rassemblement national,IDG,1
67,Poland,,S&D,1
34,France,Les Républicains,EPP,2
44,Romania,Partidul Social Democrat,S&D,1
33,Italy,Partito Democratico,S&D,1
37,Spain,Partido Popular,EPP,2
65,United Kingdom,Liberal Democrats,REG,1
51,Slovakia,SMER-Sociálna demokracia,S&D,1
43,Germany,Christlich Demokratische Union Deutschlands,EPP,2
36,Netherlands,Christen Democratisch Appèl,EPP,2
53,Germany,Liberal-Conservative Refomists,ECR,1
50,Germany,Christlich Demokratische Union Deutschlands,EPP,2
54,Sweden,Arbetarepartiet- Socialdemokraterna,S&D,1
27,Austria,Österreichische Volkspartei,EPP,2
43,Poland,,S&D,1
45,Poland,,ECR,2
49,France,La République en marche,REG,1
58,Spain,Partido Nacionalista Vasco,REG,1
44,Slovakia,SPOLU – občianska demokracia,EPP,1
66,France,Rassemblement national,IDG,1
58,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
52,France,Europe Écologie,Greens/EFA,1
47,Italy,Lega,IDG,1
47,Sweden,Vänsterpartiet,The Left,1
63,Romania,Partidul Naţional Liberal,EPP,2
64,Czech Republic,Svoboda a přímá demokracie,IDG,2
59,Lithuania,Lietuvos socialdemokratų partija,S&D,1
33,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
41,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
31,Germany,Volt,Greens/EFA,1
45,Romania,Partidul Naţional Liberal,EPP,2
56,Slovenia,Slovenska ljudska stranka,EPP,2
33,France,La France Insoumise,The Left,1
46,Italy,Partito Democratico,S&D,1
39,Italy,Lega,IDG,1
48,Croatia,Socijaldemokratska partija Hrvatske,S&D,1
39,Belgium,Parti du Travail de Belgique,The Left,1
33,Romania,Uniunea Salvați România,REG,1
68,Belgium,Nieuw-Vlaamse Alliantie,ECR,1
48,France,,REG,1
42,Germany,Piratenpartei Deutschland,Greens/EFA,1
52,Slovenia,Socialni demokrati,S&D,1
34,Belgium,Ecologistes Confédérés pour l'Organisation de Luttes Originales,Greens/EFA,1
56,United Kingdom,Liberal Democrats,REG,1
51,Poland,Prawo i Sprawiedliwość,ECR,2
63,France,Rassemblement national,IDG,1
60,France,Mouvement Démocrate,REG,1
36,Germany,Alternative für Deutschland,IDG,1
78,Germany,Ökologisch-Demokratische Partei,Greens/EFA,1
49,Romania,Partidul Naţional Liberal,EPP,1
63,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
59,United Kingdom,Liberal Democrats,REG,1
27,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
41,Romania,Partidul Naţional Liberal,EPP,1
66,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
44,Spain,Vox,ECR,2
79,Poland,Platforma Obywatelska,EPP,2
46,Italy,Azione,REG,1
44,Italy,Lega,IDG,1
50,Spain,Ciudadanos – Partido de la Ciudadanía,REG,1
45,France,Liste Renaissance,REG,1
59,France,Europe Écologie,Greens/EFA,1
40,Italy,Forza Italia,EPP,1
42,Ireland,Sinn Féin,None,1
46,Portugal,Partido Socialista,S&D,1
64,Portugal,Partido Social Democrata,EPP,2
51,Malta,Partit Nazzjonalista,EPP,2
43,Germany,Christlich Demokratische Union Deutschlands,EPP,2
34,Italy,Movimento 5 Stelle,NI,1
67,Spain,Partido Popular,EPP,2
37,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
32,Italy,Lega,IDG,1
30,Portugal,Partido Socialista,S&D,1
57,France,Mouvement Démocrate,REG,1
34,Netherlands,Partij van de Arbeid,S&D,1
37,France,La France Insoumise,The Left,1
44,Czech Republic,Ano 2011,REG,1
55,Belgium,Mouvement Réformateur,REG,1
65,Italy,Partito Democratico,S&D,1
44,United Kingdom,Green Party,Greens/EFA,1
61,Denmark,"Venstre, Danmarks Liberale Parti",REG,1
56,Cyprus,Democratic Rally,EPP,1
69,Poland,Sojusz Lewicy Demokratycznej - Unia Pracy,S&D,1
50,Romania,Uniunea Salvați România,REG,1
50,Romania,Partidul Social Democrat,S&D,1
54,France,Les centristes,EPP,2
71,France,,NI,1
51,Italy,Lega,IDG,1
64,United Kingdom,Labour Party,S&D,1
45,France,Europe Écologie,Greens/EFA,1
35,Italy,Independent,Greens/EFA,1
57,Italy,Partito Democratico,S&D,1
52,Romania,PRO Romania,S&D,1
31,Hungary,Momentum,REG,1
56,Ireland,Green Party,Greens/EFA,1
30,Malta,Partit Laburista,S&D,1
56,Poland,Prawo i Sprawiedliwość,ECR,2
61,Netherlands,ChristenUnie,EPP,3
43,Malta,Partit Laburista,S&D,1
51,Ireland,Independents for change,The Left,1
50,Italy,Independent,Greens/EFA,1
38,United Kingdom,Labour Party,S&D,1
37,Sweden,Arbetarepartiet- Socialdemokraterna,S&D,1
48,France,Les Républicains,EPP,2
66,Italy,Lega,IDG,1
67,Czech Republic,Svoboda a přímá demokracie,IDG,3
65,United Kingdom,Liberal Democrats,REG,1
35,France,Liste Renaissance,REG,1
42,France,Europe Écologie,Greens/EFA,1
42,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
40,France,Europe Écologie,Greens/EFA,1
64,Belgium,Vlaams Belang,IDG,1
35,Germany,DIE LINKE.,The Left,1
56,Belgium,Groen,Greens/EFA,1
53,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
69,United Kingdom,Liberal Democrats,REG,1
43,France,Les Républicains,EPP,2
31,Germany,Christlich-Soziale Union in Bayern e.V.,EPP,2
32,Hungary,Momentum,REG,1
50,Italy,Independent,NI,1
50,Italy,Südtiroler Volkspartei,EPP,2
57,United Kingdom,Green Party,Greens/EFA,1
50,Italy,Lega,IDG,1
55,Poland,Platforma Obywatelska,EPP,2
33,Germany,Christlich Demokratische Union Deutschlands,EPP,2
56,Spain,Partido Socialista Obrero Español,S&D,1
59,France,Liste Renaissance,REG,1
43,Slovakia,Independent,REG,1
40,Bulgaria,VMRO,ECR,2
38,Austria,Österreichische Volkspartei,EPP,2
56,Germany,Christlich Demokratische Union Deutschlands,EPP,2
43,Netherlands,GroenLinks,Greens/EFA,1
61,Netherlands,JA21,ECR,1
63,Germany,DIE LINKE.,The Left,1
37,Germany,Freie Wähler,REG,1
44,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
36,Italy,Europa Verde,Greens/EFA,1
49,France,Les Républicains,EPP,2
48,Slovenia,Socialni demokrati,S&D,1
52,Romania,Partidul Naţional Liberal,EPP,2
53,France,Mouvement Démocrate,REG,1
41,Sweden,Centerpartiet,REG,1
54,Germany,Christlich-Soziale Union in Bayern e.V.,EPP,2
52,Portugal,Partido Social Democrata,EPP,2
40,Spain,Partido Socialista Obrero Español,S&D,1
56,Italy,Partito Democratico,S&D,1
36,Italy,Movimento 5 Stelle,NI,1
41,Portugal,Partido Comunista Português,The Left,1
57,Germany,Alternative für Deutschland,IDG,1
43,Italy,Fratelli d'Italia,ECR,2
55,Italy,Fratelli d'Italia,ECR,2
69,Ireland,Fine Gael Party,EPP,1
47,Ireland,Independent,The Left,1
47,Croatia,Istarski demokratski sabor - Dieta democratica istriana,REG,1
62,Poland,Prawo i Sprawiedliwość,ECR,2
50,Cyprus,Democratic Rally,EPP,1
59,United Kingdom,The Brexit Party,NI,3
43,Belgium,Christen-Democratisch & Vlaams,EPP,2
35,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
59,Sweden,Arbetarepartiet- Socialdemokraterna,S&D,1
34,Denmark,Socialdemokratiet,S&D,1
31,Italy,Movimento 5 Stelle,NI,1
56,Denmark,"Venstre, Danmarks Liberale Parti",REG,1
59,Germany,Christlich Demokratische Union Deutschlands,EPP,2
49,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
50,Spain,Partido Socialista Obrero Español,S&D,1
31,Austria,NEOS – Das Neue Österreich,REG,1
47,Italy,Lega,IDG,1
42,Spain,Partido Socialista Obrero Español,S&D,1
75,Spain,Partido Popular,EPP,2
42,Spain,Partido Socialista Obrero Español,S&D,1
45,Spain,Partido Socialista Obrero Español,S&D,1
44,Spain,Partido Socialista Obrero Español,S&D,1
52,Spain,Ciudadanos – Partido de la Ciudadanía,REG,1
63,France,Rassemblement national,IDG,1
65,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
58,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
51,Italy,Movimento 5 Stelle,NI,1
56,Cyprus,Progressive Party of Working People - Left - New Forces,The Left,1
45,Greece,Coalition of the Radical Left,The Left,1
55,Germany,Familien-Partei Deutschlands,EPP,1
42,Romania,USR-PLUS,REG,2
45,Italy,Movimento 5 Stelle,NI,1
57,United Kingdom,Liberal Democrats,REG,1
50,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
48,Germany,Christlich Demokratische Union Deutschlands,EPP,2
63,United Kingdom,Labour Party,S&D,1
44,Germany,Freie Demokratische Partei,REG,1
40,France,Place publique,S&D,1
67,Luxembourg,Parti démocratique,REG,1
43,Spain,Partido Socialista Obrero Español,S&D,1
47,Spain,Partido Socialista Obrero Español,S&D,1
55,Spain,Partido Popular,EPP,2
55,Italy,Lega,IDG,1
65,Romania,Partidul Puterii Umaniste,S&D,1
57,United Kingdom,Labour Party,S&D,1
47,France,Rassemblement national,IDG,1
43,Slovenia,Lista Marjana Šarca,REG,1
54,France,Mouvement Démocrate,REG,1
51,Italy,Partito Democratico,S&D,1
35,Portugal,Independente,Greens/EFA,1
68,France,Liste Renaissance,REG,1
57,France,Parti Socialiste,S&D,1
43,Portugal,Bloco de Esquerda,The Left,1
40,Sweden,Arbetarepartiet- Socialdemokraterna,S&D,1
42,Hungary,JOBBIK MAGYARORSZÁGÉRT MOZGALOM,NI,1
51,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
47,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
30,Germany,Freie Demokratische Partei,REG,1
49,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
52,Austria,Freiheitliche Partei Österreichs,IDG,3
52,Slovakia,Independent,S&D,1
59,Finland,Perussuomalaiset,IDG,3
58,Poland,Platforma Obywatelska,EPP,2
48,United Kingdom,Conservative Party,ECR,1
37,Luxembourg,Parti chrétien social luxembourgeois,EPP,1
58,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
64,Finland,Vihreä liitto,Greens/EFA,1
63,Romania,Partidul Naţional Liberal,EPP,2
33,France,La République en marche,REG,1
51,Netherlands,Partij voor de Dieren,The Left,1
53,Austria,Sozialdemokratische Partei Österreichs,S&D,1
64,Finland,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,S&D,1
46,Germany,Christlich Demokratische Union Deutschlands,EPP,2
70,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
45,Poland,Polskie Stronnictwo Ludowe,EPP,2
49,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
39,Czech Republic,Ano 2011,REG,1
57,Germany,Christlich-Soziale Union in Bayern e.V.,EPP,2
42,Slovakia,Progresívne Slovensko,REG,1
55,Sweden,Miljöpartiet de gröna,Greens/EFA,1
57,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,EPP,2
26,Spain,Partido Socialista Obrero Español,S&D,1
39,United Kingdom,Liberal Democrats,REG,1
61,France,Les Républicains,EPP,2
57,United Kingdom,Liberal Democrats,REG,1
61,United Kingdom,Labour Party,S&D,1
49,Bulgaria,Bulgarian Socialist Party,S&D,1
71,Poland,Platforma Obywatelska,EPP,2
40,Finland,Perussuomalaiset,IDG,3
35,Netherlands,Volkspartij voor Vrijheid en Democratie,REG,1
47,Latvia,Attīstībai/Par!,REG,1
35,Sweden,Arbetarepartiet- Socialdemokraterna,S&D,1
56,Netherlands,Democraten 66,REG,1
52,France,Europe Écologie,Greens/EFA,1
60,Germany,Christlich Demokratische Union Deutschlands,EPP,2
61,Lithuania,Independent,Greens/EFA,1
34,Poland,Solidarna Polska Zbigniewa Ziobro,ECR,2
58,France,Rassemblement national,IDG,1
45,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
45,Poland,Polskie Stronnictwo Ludowe,EPP,2
53,United Kingdom,Labour Party,S&D,1
59,Netherlands,Partij van de Arbeid,S&D,1
46,France,Rassemblement national,IDG,1
30,Slovenia,Lista Marjana Šarca,REG,1
61,Lithuania,Tėvynės sąjunga-Lietuvos krikščionys demokratai,EPP,2
66,Poland,Prawo i Sprawiedliwość,ECR,2
61,Slovakia,Sloboda a Solidarita,ECR,2
41,Greece,Panhellenic Socialist Movement - Olive Tree,S&D,1
57,Poland,Polskie Stronnictwo Ludowe,EPP,2
57,Estonia,Sotsiaaldemokraatlik Erakond,S&D,1
67,Latvia,Partija 'VIENOTĪBA',EPP,2
53,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
44,Bulgaria,Democrats for Strong Bulgaria,EPP,2
39,Belgium,Nieuw-Vlaamse Alliantie,ECR,1
62,Austria,Österreichische Volkspartei,EPP,2
40,France,La République en marche,REG,1
49,Sweden,Liberalerna,REG,1
53,Finland,Suomen Keskusta,REG,1
60,Greece,Nea Demokratia,EPP,2
51,Ireland,Fianna Fáil Party,REG,1
60,France,Agir - La Droite constructive,REG,1
38,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
67,Ireland,Fine Gael Party,EPP,1
53,Poland,Solidarna Polska Zbigniewa Ziobro,ECR,2
42,United Kingdom,Labour Party,S&D,1
60,Cyprus,Progressive Party of Working People - Left - New Forces,The Left,1
56,Poland,Prawo i Sprawiedliwość,ECR,2
35,Czech Republic,Ano 2011,REG,1
29,Denmark,Dansk Folkeparti,IDG,1
37,Poland,,S&D,1
33,Sweden,Moderaterna,EPP,2
49,Greece,Coalition of the Radical Left,The Left,1
39,Czech Republic,PIRÁTI,Greens/EFA,1
50,Croatia,-,NI,1
38,Czech Republic,Komunistická strana Čech a Moravy,The Left,1
63,Poland,Platforma Obywatelska,EPP,2
52,Poland,Prawo i Sprawiedliwość,ECR,2
29,Germany,Freie Demokratische Partei,REG,1
44,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
62,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
66,Greece,Coalition of the Radical Left,The Left,1
57,Greece,Coalition of the Radical Left,The Left,1
39,Czech Republic,Ano 2011,REG,1
52,Bulgaria,Citizens for European Development of Bulgaria,EPP,2
42,Germany,Alternative für Deutschland,IDG,1
66,Poland,Prawo i Sprawiedliwość,ECR,2
63,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
60,Poland,Prawo i Sprawiedliwość,ECR,2
63,Lithuania,Tėvynės sąjunga-Lietuvos krikščionys demokratai,EPP,2
48,Sweden,Miljöpartiet de gröna,Greens/EFA,1
63,Germany,Alternative für Deutschland,IDG,1
47,Finland,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,S&D,1
63,Poland,Prawo i Sprawiedliwość,ECR,2
67,Greece,Independent,REG,2
34,Bulgaria,Movement for Rights and Freedoms,REG,1
44,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
47,Greece,Independent,NI,1
40,France,Place publique,S&D,1
56,Belgium,Ecologistes Confédérés pour l'Organisation de Luttes Originales,Greens/EFA,1
54,Italy,Lega,IDG,1
64,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
44,Netherlands,Christen Democratisch Appèl,EPP,2
40,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
41,France,Rassemblement national,IDG,1
55,France,Nouvelle Donne,S&D,1
61,France,Rassemblement national,IDG,1
42,France,Rassemblement national,IDG,1
67,Portugal,Partido Socialista,S&D,1
35,Netherlands,Christen Democratisch Appèl,EPP,2
68,Poland,Platforma Obywatelska,EPP,2
54,Germany,Christlich Demokratische Union Deutschlands,EPP,2
53,Germany,Alternative für Deutschland,IDG,1
42,Germany,Christlich Demokratische Union Deutschlands,EPP,2
52,Italy,Lega,IDG,1
55,France,Liste Renaissance,REG,1
55,Denmark,"Venstre, Danmarks Liberale Parti",REG,1
48,United Kingdom,Alliance Party of Northern Ireland,REG,1
34,Spain,Partit dels Socialistes de Catalunya,S&D,1
58,Spain,Partido Socialista Obrero Español,S&D,1
75,Spain,Partido Popular,EPP,2
49,Spain,Partido Popular,EPP,2
62,United Kingdom,The Brexit Party,NI,3
39,Spain,Partido Socialista Obrero Español,S&D,1
53,Poland,Platforma Obywatelska,EPP,2
56,Sweden,Sverigedemokraterna,ECR,2
49,Belgium,,EPP,3
48,Germany,Christlich Demokratische Union Deutschlands,EPP,2
60,Ireland,Fine Gael Party,EPP,1
65,United Kingdom,Conservative Party,ECR,1
48,United Kingdom,Scottish National Party,Greens/EFA,1
28,Estonia,Eesti Konservatiivne Rahvaerakond,IDG,3
44,Spain,Partido Socialista Obrero Español,S&D,1
30,United Kingdom,Green Party,Greens/EFA,1
46,Italy,Partito Democratico,S&D,1
61,Lithuania,Independent,EPP,2
29,Spain,Partido Socialista Obrero Español,S&D,1
44,Romania,Partidul Social Democrat,S&D,1
63,Netherlands,Christen Democratisch Appèl,EPP,2
40,Austria,Österreichische Volkspartei,EPP,2
61,France,Rassemblement national,IDG,1
67,Romania,Partidul Naţional Liberal,EPP,1
32,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
65,Portugal,Partido Socialista,S&D,1
43,Portugal,Partido Socialista,S&D,1
51,Italy,Forza Italia,EPP,2
57,Croatia,Socijaldemokratska partija Hrvatske,S&D,1
46,France,Gauche républicaine et socialiste,The Left,1
57,Cyprus,Democratic Party,S&D,1
51,Czech Republic,Independent,S&D,1
33,Bulgaria,Citizens for European Development of Bulgaria,EPP,2
46,Austria,Freiheitliche Partei Österreichs,IDG,3
52,Poland,Prawo i Sprawiedliwość,ECR,2
65,Lithuania,Tėvynės sąjunga-Lietuvos krikščionys demokratai,EPP,2
66,Greece,Nea Demokratia,EPP,2
48,Latvia,Nacionālā apvienība 'Visu Latvijai!'-'Tēvzemei un Brīvībai/LNNK',ECR,1
69,France,Rassemblement national,IDG,1
52,Luxembourg,Déi Gréng - Les Verts,Greens/EFA,1
58,Germany,Independent,NI,1
64,Germany,DIE LINKE.,The Left,1
46,Estonia,Sotsiaaldemokraatlik Erakond,S&D,1
42,Italy,Fratelli d'Italia,ECR,2
64,Spain,Partido Popular,EPP,2
62,United Kingdom,Conservative Party,ECR,1
43,Finland,Vasemmistoliitto,The Left,1
47,United Kingdom,Liberal Democrats,REG,1
44,Hungary,Demokratikus Koalíció,S&D,1
61,United Kingdom,The Brexit Party,NI,3
46,Spain,Partido Popular,EPP,2
54,United Kingdom,Labour Party,S&D,1
56,France,Les Républicains,EPP,2
54,Spain,Partido Socialista Obrero Español,S&D,1
46,Italy,Partito Democratico,S&D,1
64,Germany,Christlich-Soziale Union in Bayern e.V.,EPP,2
49,Romania,Partidul Naţional Liberal,EPP,2
44,Poland,Prawo i Sprawiedliwość,ECR,2
57,Germany,Freie Wähler,REG,1
38,Romania,Partidul Naţional Liberal,EPP,2
39,Netherlands,Volkspartij voor Vrijheid en Democratie,REG,1
72,Spain,Independiente,REG,1
46,United Kingdom,Liberal Democrats,REG,1
35,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
70,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
78,United Kingdom,Liberal Democrats,REG,1
59,Romania,Partidul Social Democrat,S&D,1
56,Germany,Christlich-Soziale Union in Bayern e.V.,EPP,2
53,Czech Republic,TOP 09 a Starostové,EPP,1
27,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
43,Finland,Vihreä liitto,Greens/EFA,1
34,Greece,Communist Party of Greece,NI,1
52,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
60,Slovenia,Nova Slovenija – Krščanski demokrati,EPP,2
31,Bulgaria,Citizens for European Development of Bulgaria,EPP,2
57,Ireland,Green Party,Greens/EFA,1
41,Germany,Freie Demokratische Partei,REG,1
67,Poland,Platforma Obywatelska,EPP,2
64,Lithuania,Lietuvos socialdemokratų partija,S&D,1
58,France,Rassemblement national,IDG,1
50,France,La France Insoumise,The Left,1
45,Estonia,Eesti Reformierakond,REG,1
54,Spain,Delegación Ciudadanos Europeos,REG,1
38,United Kingdom,Labour Party,S&D,1
37,Italy,Lega,IDG,1
53,Cyprus,Movement for Social Democracy EDEK,S&D,1
44,Greece,Communist Party of Greece,NI,1
64,Greece,Coalition of the Radical Left,The Left,1
57,United Kingdom,The Brexit Party,NI,1
52,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
50,Italy,Independent,Greens/EFA,1
57,Belgium,Christen-Democratisch & Vlaams,EPP,2
72,Finland,Suomen Keskusta,REG,1
33,Czech Republic,PIRÁTI,Greens/EFA,1
43,France,La France Insoumise,The Left,1
31,Bulgaria,Bulgarian Socialist Party,S&D,1
42,Portugal,Partido Comunista Português,The Left,1
28,Portugal,Partido Social Democrata,EPP,2
21,Denmark,Socialistisk Folkeparti,Greens/EFA,1
