Age,Country,Party,EPG,Vote
47,Poland,NA,EPP,2
52,Bulgaria,Centre-droit,EPP,2
57,Italy,Droite,IDG,1
68,Bulgaria,Droite,EPP,2
39,Bulgaria,Centre,REG,2
67,Portugal,Droite,EPP,2
52,Germany,Droite,IDG,2
60,France,Centre-droit,S&D,1
36,France,Droite,IDG,1
62,Belgium,Droite,IDG,3
64,Estonia,Centre,REG,2
67,Hungary,Centre-droit,S&D,2
54,Belgium,Centre-droit,S&D,1
50,Spain,Droite,EPP,2
49,Poland,Centre,EPP,2
47,Romania,Centre,REG,2
53,Greece,Centre,EPP,2
31,France,Gauche,The Left,1
57,Lithuania,Centre,REG,2
54,Romania,Centre-droit,S&D,2
44,Netherlands,Centre,REG,2
47,Poland,NA,S&D,2
25,France,Droite,IDG,1
64,Italy,Centre-droit,S&D,2
50,Spain,Centre,REG,2
50,Germany,Centre,REG,2
40,France,Droite,IDG,1
35,France,Droite,EPP,2
45,Romania,Centre-droit,S&D,2
34,Italy,Centre-droit,S&D,1
52,Slovakia,Centre-droit,S&D,2
55,Sweden,Centre-droit,S&D,2
50,France,Centre,REG,2
45,Slovakia,Centre,EPP,2
67,France,Droite,IDG,1
48,Italy,Droite,IDG,1
64,Romania,Centre,EPP,2
42,Hungary,Droite,NI,2
57,Slovenia,Centre,EPP,2
47,Italy,Centre-droit,S&D,2
40,Belgium,Gauche,The Left,3
34,Romania,Centre,REG,2
69,Belgium,Centre,ECR,2
43,Germany,Gauche,Greens/EFA,1
53,Slovenia,Centre-droit,S&D,1
64,France,Droite,IDG,1
61,France,Centre,REG,2
37,Germany,Droite,IDG,2
45,Spain,Droite,ECR,2
51,Spain,Centre,REG,2
46,France,Centre,REG,3
65,Portugal,Droite,EPP,2
44,Germany,Centre,EPP,2
31,Portugal,Centre-droit,S&D,2
35,Netherlands,Centre-droit,S&D,2
38,France,Gauche,The Left,1
45,Czech Republic,Centre,REG,2
56,Belgium,Centre,REG,2
57,Cyprus,Centre,EPP,2
70,Poland,Gauche,S&D,1
51,Romania,Centre,REG,2
51,Romania,Centre-droit,S&D,2
36,Italy,NA,Greens/EFA,1
32,Hungary,Centre,REG,2
31,Malta,Centre-droit,S&D,3
62,Netherlands,Centre,EPP,3
38,Sweden,Centre-droit,S&D,2
67,Italy,Droite,IDG,1
62,Italy,Centre-droit,S&D,2
36,France,Centre,REG,2
43,France,Centre-droit,Greens/EFA,1
43,Hungary,Droite,NI,2
41,France,Centre-droit,Greens/EFA,1
57,Belgium,Centre-droit,Greens/EFA,1
44,Czech Republic,Centre,REG,2
