Age,Country,Party,EPG,Vote
47,Poland,NA,EPP,1
52,Bulgaria,Centre-droit,EPP,1
42,Italy,Droite,EPP,2
57,Italy,Droite,IDG,3
32,Malta,Centre-droit,S&D,2
71,Spain,Droite,ECR,1
56,Spain,Centre-droit,S&D,2
68,Bulgaria,Droite,EPP,1
67,France,Gauche,Greens/EFA,2
39,Bulgaria,Centre,REG,1
67,Portugal,Droite,EPP,1
52,Germany,Droite,IDG,1
34,Germany,Gauche,Greens/EFA,2
60,France,Centre-droit,S&D,2
36,France,Droite,IDG,2
41,Greece,Centre-droit,S&D,2
62,Belgium,Droite,IDG,3
64,Estonia,Centre,REG,1
67,Hungary,Centre-droit,S&D,2
54,Belgium,Centre-droit,S&D,1
50,Spain,Droite,EPP,1
46,Belgium,Centre,EPP,1
47,Romania,Centre,REG,1
56,Greece,Gauche,The Left,2
53,Greece,Centre,EPP,3
31,France,Gauche,The Left,2
75,Denmark,Gauche,Greens/EFA,2
57,Lithuania,Centre,REG,1
54,Romania,Centre-droit,S&D,2
44,Netherlands,Centre,REG,1
47,Poland,NA,S&D,2
25,France,Droite,IDG,2
55,Spain,Gauche,The Left,3
64,Italy,Centre-droit,S&D,2
53,Italy,Droite,IDG,3
50,Spain,Centre,REG,1
43,France,NA,NI,2
55,Germany,Droite,IDG,2
50,Germany,Centre,REG,1
49,Italy,Centre,NI,2
68,Poland,NA,S&D,2
35,France,Droite,EPP,1
45,Romania,Centre-droit,S&D,2
34,Italy,Centre-droit,S&D,2
38,Spain,Droite,EPP,1
52,Slovakia,Centre-droit,S&D,2
44,Germany,Centre,EPP,1
37,Netherlands,Droite,EPP,1
54,Germany,Droite,ECR,1
51,Germany,Centre,EPP,1
55,Sweden,Centre-droit,S&D,2
44,Poland,NA,S&D,2
46,Poland,NA,ECR,1
50,France,Centre,REG,1
59,Spain,Centre,REG,2
45,Slovakia,Centre,EPP,1
67,France,Droite,IDG,2
59,Germany,Centre-droit,S&D,2
53,France,Centre-droit,Greens/EFA,2
48,Italy,Droite,IDG,3
48,Sweden,Gauche,The Left,2
64,Romania,Centre,EPP,1
65,Czech Republic,Droite,IDG,1
60,Lithuania,Centre-droit,S&D,2
34,Germany,Gauche,Greens/EFA,2
32,Germany,Centre-droit,Greens/EFA,2
46,Romania,Centre,EPP,1
57,Slovenia,Centre,EPP,1
34,France,Gauche,The Left,2
47,Italy,Centre-droit,S&D,2
58,Italy,Droite,IDG,3
40,Italy,Droite,IDG,3
49,Croatia,Centre-droit,S&D,2
40,Belgium,Gauche,The Left,2
34,Romania,Centre,REG,1
69,Belgium,Centre,ECR,1
49,France,NA,REG,1
43,Germany,Gauche,Greens/EFA,2
53,Slovenia,Centre-droit,S&D,2
35,Belgium,Gauche,Greens/EFA,2
52,Poland,Centre,ECR,1
64,France,Droite,IDG,2
61,France,Centre,REG,1
37,Germany,Droite,IDG,1
79,Germany,Centre-droit,Greens/EFA,2
50,Romania,Centre,EPP,1
64,Germany,Centre-droit,S&D,2
28,Germany,Centre-droit,S&D,2
50,Germany,NA,NI,2
42,Romania,Centre,EPP,1
67,Germany,Gauche,Greens/EFA,2
45,Spain,Droite,ECR,1
80,Poland,Centre,EPP,1
47,Italy,Centre,REG,2
45,Italy,Droite,IDG,3
51,Spain,Centre,REG,1
46,France,Centre,REG,1
60,France,Centre-droit,Greens/EFA,2
41,Italy,Droite,EPP,3
47,Portugal,Centre-droit,S&D,2
65,Portugal,Droite,EPP,1
52,Malta,Droite,EPP,1
50,Italy,Droite,IDG,3
44,Germany,Centre,EPP,1
35,Italy,Centre,NI,2
68,Spain,Droite,EPP,1
38,Germany,Gauche,Greens/EFA,2
33,Italy,Droite,IDG,3
31,Portugal,Centre-droit,S&D,2
58,France,Centre,REG,1
35,Netherlands,Centre-droit,S&D,2
38,France,Gauche,The Left,2
45,Czech Republic,Centre,REG,1
56,Belgium,Centre,REG,1
66,Italy,Centre-droit,S&D,2
62,Denmark,Centre,REG,1
57,Cyprus,Centre,EPP,2
70,Poland,Gauche,S&D,2
45,Italy,Droite,IDG,3
51,Romania,Centre,REG,1
51,Romania,Centre-droit,S&D,2
66,Slovakia,Centre-droit,S&D,2
55,France,Centre,EPP,1
52,Italy,Droite,IDG,3
46,France,Centre-droit,Greens/EFA,2
36,Italy,NA,Greens/EFA,2
58,Italy,Centre-droit,S&D,2
53,Romania,Centre-droit,S&D,2
32,Hungary,Centre,REG,1
57,Ireland,Centre-droit,Greens/EFA,2
