Age,Country,Party,EPG,Vote
41,Italy,Droite,EPP,3
56,Italy,Droite,IDG,2
31,Malta,Centre-droit,S&D,1
70,Spain,Droite,ECR,2
55,Spain,Centre-droit,S&D,1
43,Sweden,Centre,REG,1
67,Bulgaria,Droite,EPP,2
38,Bulgaria,Centre,REG,1
55,United Kingdom,Centre-droit,Greens/EFA,1
66,Portugal,Droite,EPP,2
51,Germany,Droite,IDG,2
57,United Kingdom,Gauche,None,1
33,Germany,Gauche,Greens/EFA,1
35,France,Droite,IDG,2
66,Hungary,Centre-droit,S&D,2
53,Belgium,Centre-droit,S&D,1
49,Spain,Droite,EPP,2
45,Belgium,Centre,EPP,1
48,Poland,Centre,EPP,2
46,Romania,Centre,REG,1
55,Greece,Gauche,The Left,1
30,France,Gauche,The Left,1
74,Denmark,Gauche,Greens/EFA,1
56,Lithuania,Centre,REG,1
53,Romania,Centre-droit,S&D,1
43,Netherlands,Centre,REG,2
49,Italy,Droite,IDG,2
46,Poland,NA,S&D,1
24,France,Droite,IDG,2
51,Germany,Centre-droit,S&D,1
54,Spain,Gauche,The Left,1
63,Italy,Centre-droit,S&D,1
68,Romania,Centre,EPP,1
52,Italy,Droite,IDG,2
49,Spain,Centre,REG,1
42,France,NA,NI,2
54,Germany,Droite,IDG,2
49,Germany,Centre,REG,1
48,Italy,Centre,NI,3
39,France,Droite,IDG,2
67,Poland,NA,S&D,1
34,France,Droite,EPP,2
44,Romania,Centre-droit,S&D,1
33,Italy,Centre-droit,S&D,1
37,Spain,Droite,EPP,2
43,Germany,Centre,EPP,2
36,Netherlands,Droite,EPP,2
53,Germany,Droite,ECR,2
54,Sweden,Centre-droit,S&D,1
27,Austria,Centre-droit,EPP,2
43,Poland,NA,S&D,1
45,Poland,NA,ECR,2
58,Spain,Centre,REG,1
44,Slovakia,Centre,EPP,2
66,France,Droite,IDG,2
58,Germany,Centre-droit,S&D,1
52,France,Centre-droit,Greens/EFA,1
47,Italy,Droite,IDG,2
47,Sweden,Gauche,The Left,1
63,Romania,Centre,EPP,2
64,Czech Republic,Droite,IDG,2
59,Lithuania,Centre-droit,S&D,1
33,Germany,Gauche,Greens/EFA,1
41,Hungary,Droite,NI,2
31,Germany,Centre-droit,Greens/EFA,1
45,Romania,Centre,EPP,2
56,Slovenia,Centre,EPP,2
33,France,Gauche,The Left,1
46,Italy,Centre-droit,S&D,1
57,Italy,Droite,IDG,2
39,Italy,Droite,IDG,2
48,Croatia,Centre-droit,S&D,1
39,Belgium,Gauche,The Left,1
48,France,NA,REG,1
42,Germany,Gauche,Greens/EFA,1
52,Slovenia,Centre-droit,S&D,1
34,Belgium,Gauche,Greens/EFA,1
51,Poland,Centre,ECR,2
63,France,Droite,IDG,2
60,France,Centre,REG,1
36,Germany,Droite,IDG,2
78,Germany,Centre-droit,Greens/EFA,1
49,Romania,Centre,EPP,2
50,United Kingdom,Droite,NI,2
59,United Kingdom,Centre,REG,1
27,Germany,Centre-droit,S&D,1
49,Germany,NA,NI,1
66,Germany,Gauche,Greens/EFA,1
44,Spain,Droite,ECR,2
79,Poland,Centre,EPP,2
46,Italy,Centre,REG,1
44,Italy,Droite,IDG,2
50,Spain,Centre,REG,1
45,France,Centre,REG,1
59,France,Centre-droit,Greens/EFA,1
40,Italy,Droite,EPP,2
42,Ireland,Gauche,None,1
46,Portugal,Centre-droit,S&D,1
64,Portugal,Droite,EPP,2
51,Malta,Droite,EPP,2
49,Italy,Droite,IDG,2
34,Italy,Centre,NI,3
67,Spain,Droite,EPP,2
32,Italy,Droite,IDG,2
30,Portugal,Centre-droit,S&D,1
57,France,Centre,REG,1
34,Netherlands,Centre-droit,S&D,1
37,France,Gauche,The Left,1
44,Czech Republic,Centre,REG,2
55,Belgium,Centre,REG,1
65,Italy,Centre-droit,S&D,1
44,United Kingdom,Centre-droit,Greens/EFA,1
61,Denmark,Centre,REG,3
69,Poland,Gauche,S&D,1
50,Romania,Centre-droit,S&D,1
65,Slovakia,Centre-droit,S&D,3
54,France,Centre,EPP,2
71,France,NA,NI,2
51,Italy,Droite,IDG,2
64,United Kingdom,Centre-droit,S&D,1
45,France,Centre-droit,Greens/EFA,1
35,Italy,NA,Greens/EFA,3
57,Italy,Centre-droit,S&D,1
52,Romania,Centre-droit,S&D,1
31,Hungary,Centre,REG,1
56,Ireland,Centre-droit,Greens/EFA,1
30,Malta,Centre-droit,S&D,1
56,Poland,Centre,ECR,2
61,Netherlands,Centre,EPP,3
43,Malta,Centre-droit,S&D,1
50,Italy,NA,Greens/EFA,3
38,United Kingdom,Centre-droit,S&D,1
