Age,Country,Party,EPG,Vote
51,Bulgaria,Centre-droit,EPP,2
56,Italy,Droite,IDG,2
70,Spain,Droite,ECR,2
55,Spain,Centre-droit,S&D,1
43,Sweden,Centre,REG,3
66,France,Gauche,Greens/EFA,1
38,Bulgaria,Centre,REG,2
55,United Kingdom,Centre-droit,Greens/EFA,1
51,Germany,Droite,IDG,2
57,United Kingdom,Gauche,None,1
35,France,Droite,IDG,3
63,Estonia,Centre,REG,2
48,Poland,Centre,EPP,2
46,Romania,Centre,REG,2
30,France,Gauche,The Left,1
56,Lithuania,Centre,REG,2
53,Romania,Centre-droit,S&D,1
43,Netherlands,Centre,REG,2
46,Poland,NA,S&D,1
24,France,Droite,IDG,3
54,Spain,Gauche,The Left,1
63,Italy,Centre-droit,S&D,1
52,Italy,Droite,IDG,2
49,Spain,Centre,REG,2
70,United Kingdom,Centre,REG,1
49,Germany,Centre,REG,2
48,Italy,Centre,NI,1
39,France,Droite,IDG,3
67,Poland,NA,S&D,2
34,France,Droite,EPP,2
33,Italy,Centre-droit,S&D,1
37,Spain,Droite,EPP,2
65,United Kingdom,Centre,REG,2
51,Slovakia,Centre-droit,S&D,1
43,Germany,Centre,EPP,2
36,Netherlands,Droite,EPP,2
53,Germany,Droite,ECR,2
49,France,Centre,REG,2
58,Spain,Centre,REG,2
66,France,Droite,IDG,3
52,France,Centre-droit,Greens/EFA,1
47,Italy,Droite,IDG,2
47,Sweden,Gauche,The Left,1
41,Hungary,Droite,NI,2
33,France,Gauche,The Left,1
46,Italy,Centre-droit,S&D,1
57,Italy,Droite,IDG,2
39,Italy,Droite,IDG,2
48,Croatia,Centre-droit,S&D,1
39,Belgium,Gauche,The Left,1
48,France,NA,REG,2
42,Germany,Gauche,Greens/EFA,1
52,Slovenia,Centre-droit,S&D,1
34,Belgium,Gauche,Greens/EFA,1
56,United Kingdom,Centre,REG,2
51,Poland,Centre,ECR,2
63,France,Droite,IDG,3
60,France,Centre,REG,2
56,United Kingdom,Droite,NI,2
59,United Kingdom,Centre,REG,2
46,Italy,Centre,REG,1
