Age,Country,Party,EPG,Vote
51,Bulgaria,Citizens for European Development of Bulgaria,EPP,2
56,Italy,Lega,IDG,1
70,Spain,Vox,ECR,1
55,Spain,Partido Socialista Obrero Español,S&D,2
43,Sweden,Centerpartiet,REG,2
66,France,Régions et Peuples Solidaires,Greens/EFA,2
38,Bulgaria,Movement for Rights and Freedoms,REG,2
55,United Kingdom,Scottish National Party,Greens/EFA,2
51,Germany,Alternative für Deutschland,IDG,1
57,United Kingdom,Sinn Féin,None,2
35,France,Rassemblement national,IDG,1
63,Estonia,Eesti Reformierakond,REG,2
48,Poland,Platforma Obywatelska,EPP,2
46,Romania,Uniunea Salvați România,REG,2
56,Lithuania,Lietuvos Respublikos liberalų sąjūdis,REG,2
53,Romania,Partidul Social Democrat,S&D,2
43,Netherlands,Volkspartij voor Vrijheid en Democratie,REG,2
46,Poland,,S&D,2
24,France,Rassemblement national,IDG,1
54,Spain,EH BILDU,The Left,2
63,Italy,Partito Democratico,S&D,2
52,Italy,Lega,IDG,1
49,Spain,Ciudadanos – Partido de la Ciudadanía,REG,2
70,United Kingdom,Liberal Democrats,REG,2
49,Germany,Freie Demokratische Partei,REG,2
48,Italy,Movimento 5 Stelle,NI,1
39,France,Rassemblement national,IDG,1
67,Poland,,S&D,2
34,France,Les Républicains,EPP,2
33,Italy,Partito Democratico,S&D,2
37,Spain,Partido Popular,EPP,2
65,United Kingdom,Liberal Democrats,REG,2
43,Germany,Christlich Demokratische Union Deutschlands,EPP,2
36,Netherlands,Christen Democratisch Appèl,EPP,2
53,Germany,Liberal-Conservative Refomists,ECR,1
49,France,La République en marche,REG,2
58,Spain,Partido Nacionalista Vasco,REG,2
66,France,Rassemblement national,IDG,1
52,France,Europe Écologie,Greens/EFA,2
47,Italy,Lega,IDG,1
47,Sweden,Vänsterpartiet,The Left,2
41,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
33,France,La France Insoumise,The Left,2
46,Italy,Partito Democratico,S&D,2
57,Italy,Lega,IDG,1
39,Italy,Lega,IDG,1
48,Croatia,Socijaldemokratska partija Hrvatske,S&D,2
39,Belgium,Parti du Travail de Belgique,The Left,2
48,France,,REG,2
42,Germany,Piratenpartei Deutschland,Greens/EFA,2
52,Slovenia,Socialni demokrati,S&D,2
34,Belgium,Ecologistes Confédérés pour l'Organisation de Luttes Originales,Greens/EFA,2
56,United Kingdom,Liberal Democrats,REG,2
51,Poland,Prawo i Sprawiedliwość,ECR,1
63,France,Rassemblement national,IDG,1
60,France,Mouvement Démocrate,REG,2
56,United Kingdom,The Brexit Party,NI,3
59,United Kingdom,Liberal Democrats,REG,2
46,Italy,Azione,REG,2
44,Italy,Lega,IDG,1
50,Spain,Ciudadanos – Partido de la Ciudadanía,REG,2
40,Italy,Forza Italia,EPP,1
42,Ireland,Sinn Féin,None,3
46,Portugal,Partido Socialista,S&D,2
34,Italy,Movimento 5 Stelle,NI,1
37,Germany,Bündnis 90/Die Grünen,Greens/EFA,2
32,Italy,Lega,IDG,1
30,Portugal,Partido Socialista,S&D,2
57,France,Mouvement Démocrate,REG,2
34,Netherlands,Partij van de Arbeid,S&D,2
37,France,La France Insoumise,The Left,2
44,Czech Republic,Ano 2011,REG,2
55,Belgium,Mouvement Réformateur,REG,2
44,United Kingdom,Green Party,Greens/EFA,2
56,Cyprus,Democratic Rally,EPP,2
69,Poland,Sojusz Lewicy Demokratycznej - Unia Pracy,S&D,3
50,Romania,Uniunea Salvați România,REG,2
50,Romania,Partidul Social Democrat,S&D,2
54,France,Les centristes,EPP,2
51,Italy,Lega,IDG,1
64,United Kingdom,Labour Party,S&D,2
35,Italy,Independent,Greens/EFA,1
57,Italy,Partito Democratico,S&D,2
31,Hungary,Momentum,REG,2
56,Ireland,Green Party,Greens/EFA,2
30,Malta,Partit Laburista,S&D,2
61,Netherlands,ChristenUnie,EPP,3
43,Malta,Partit Laburista,S&D,2
51,Ireland,Independents for change,The Left,2
50,Italy,Independent,Greens/EFA,1
38,United Kingdom,Labour Party,S&D,2
37,Sweden,Arbetarepartiet- Socialdemokraterna,S&D,2
66,Italy,Lega,IDG,1
65,United Kingdom,Liberal Democrats,REG,3
61,Italy,Partito Democratico,S&D,2
35,France,Liste Renaissance,REG,2
42,France,Europe Écologie,Greens/EFA,2
42,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
43,Germany,Bündnis 90/Die Grünen,Greens/EFA,2
43,Czech Republic,Ano 2011,REG,2
47,Hungary,Demokratikus Koalíció,S&D,2
31,Germany,Christlich-Soziale Union in Bayern e.V.,EPP,2
32,Hungary,Momentum,REG,2
50,Italy,Independent,NI,1
50,Italy,Südtiroler Volkspartei,EPP,2
50,Italy,Lega,IDG,1
55,Poland,Platforma Obywatelska,EPP,2
56,Spain,Partido Socialista Obrero Español,S&D,2
38,Austria,Österreichische Volkspartei,EPP,2
44,Germany,Sozialdemokratische Partei Deutschlands,S&D,2
54,Spain,Partido Popular,EPP,2
60,United Kingdom,Plaid Cymru - Party of Wales,Greens/EFA,2
36,Italy,Europa Verde,Greens/EFA,1
48,Slovenia,Socialni demokrati,S&D,2
53,France,Mouvement Démocrate,REG,2
40,Spain,Partido Socialista Obrero Español,S&D,2
57,Germany,Alternative für Deutschland,IDG,1
43,Italy,Fratelli d'Italia,ECR,1
47,Croatia,Istarski demokratski sabor - Dieta democratica istriana,REG,2
50,Cyprus,Democratic Rally,EPP,2
59,United Kingdom,The Brexit Party,NI,3
26,Greece,Elliniki Lusi-Greek Solution,ECR,1
45,Poland,Platforma Obywatelska,EPP,2
43,Belgium,Christen-Democratisch & Vlaams,EPP,2
59,Sweden,Arbetarepartiet- Socialdemokraterna,S&D,2
31,Italy,Movimento 5 Stelle,NI,1
56,Denmark,"Venstre, Danmarks Liberale Parti",REG,2
59,Germany,Christlich Demokratische Union Deutschlands,EPP,2
49,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
31,Austria,NEOS – Das Neue Österreich,REG,2
42,Spain,Partido Socialista Obrero Español,S&D,2
42,Spain,Partido Socialista Obrero Español,S&D,2
44,Spain,Partido Socialista Obrero Español,S&D,2
63,France,Rassemblement national,IDG,1
51,Germany,Bündnis 90/Die Grünen,Greens/EFA,2
51,Italy,Movimento 5 Stelle,NI,1
45,Italy,Movimento 5 Stelle,NI,1
57,United Kingdom,Liberal Democrats,REG,2
37,United Kingdom,The Brexit Party,NI,3
44,Germany,Freie Demokratische Partei,REG,2
40,France,Place publique,S&D,2
43,Spain,Partido Socialista Obrero Español,S&D,2
47,Spain,Partido Socialista Obrero Español,S&D,2
55,Spain,Partido Popular,EPP,2
55,Italy,Lega,IDG,1
26,Czech Republic,PIRÁTI,Greens/EFA,2
43,Slovenia,Lista Marjana Šarca,REG,2
54,France,Mouvement Démocrate,REG,2
51,Italy,Partito Democratico,S&D,2
57,France,Parti Socialiste,S&D,2
43,Portugal,Bloco de Esquerda,The Left,2
40,Sweden,Arbetarepartiet- Socialdemokraterna,S&D,2
42,Hungary,JOBBIK MAGYARORSZÁGÉRT MOZGALOM,NI,2
47,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
30,Germany,Freie Demokratische Partei,REG,2
49,Germany,Bündnis 90/Die Grünen,Greens/EFA,2
52,Slovakia,Independent,S&D,2
58,Poland,Platforma Obywatelska,EPP,2
58,Germany,Bündnis 90/Die Grünen,Greens/EFA,2
64,Finland,Vihreä liitto,Greens/EFA,2
63,Romania,Partidul Naţional Liberal,EPP,1
33,France,La République en marche,REG,2
