Age,Country,Party,EPG,Vote
52,Bulgaria,Centre-droit,EPP,2
57,Italy,Droite,IDG,2
32,Malta,Centre-droit,S&D,1
56,Spain,Centre-droit,S&D,1
52,United Kingdom,Centre-droit,Greens/EFA,1
68,Bulgaria,Droite,EPP,2
67,France,Gauche,Greens/EFA,1
39,Bulgaria,Centre,REG,2
56,United Kingdom,Centre-droit,Greens/EFA,1
67,Portugal,Droite,EPP,2
59,Latvia,Centre,S&D,1
34,Germany,Gauche,Greens/EFA,1
60,France,Centre-droit,S&D,1
36,France,Droite,IDG,2
62,Belgium,Droite,IDG,3
67,Hungary,Centre-droit,S&D,1
54,Belgium,Centre-droit,S&D,1
50,Spain,Droite,EPP,2
49,Poland,Centre,EPP,2
47,Romania,Centre,REG,2
56,Greece,Gauche,The Left,1
53,Greece,Centre,EPP,2
31,France,Gauche,The Left,1
75,Denmark,Gauche,Greens/EFA,1
54,Romania,Centre-droit,S&D,1
44,Netherlands,Centre,REG,2
50,Italy,Droite,IDG,2
47,Poland,NA,S&D,1
25,France,Droite,IDG,2
52,Germany,Centre-droit,S&D,1
55,Spain,Gauche,The Left,1
64,Italy,Centre-droit,S&D,1
69,Romania,Centre,EPP,2
53,Italy,Droite,IDG,2
50,Spain,Centre,REG,2
43,France,NA,NI,2
55,Germany,Droite,IDG,1
50,Germany,Centre,REG,2
40,France,Droite,IDG,2
68,Poland,NA,S&D,1
38,Spain,Droite,EPP,2
66,United Kingdom,Centre,REG,2
52,Slovakia,Centre-droit,S&D,1
44,Germany,Centre,EPP,2
55,Sweden,Centre-droit,S&D,1
44,Poland,NA,S&D,1
50,France,Centre,REG,2
59,Spain,Centre,REG,1
45,Slovakia,Centre,EPP,2
67,France,Droite,IDG,2
59,Germany,Centre-droit,S&D,1
53,France,Centre-droit,Greens/EFA,1
48,Sweden,Gauche,The Left,1
64,Romania,Centre,EPP,2
34,Germany,Gauche,Greens/EFA,1
42,Hungary,Droite,NI,2
57,Slovenia,Centre,EPP,2
49,Croatia,Centre-droit,S&D,1
40,Belgium,Gauche,The Left,1
34,Romania,Centre,REG,2
69,Belgium,Centre,ECR,2
49,France,NA,REG,2
43,Germany,Gauche,Greens/EFA,1
53,Slovenia,Centre-droit,S&D,1
35,Belgium,Gauche,Greens/EFA,1
57,United Kingdom,Centre,REG,2
64,France,Droite,IDG,2
61,France,Centre,REG,2
79,Germany,Centre-droit,Greens/EFA,1
60,United Kingdom,Centre,REG,2
28,Germany,Centre-droit,S&D,1
45,Spain,Droite,ECR,2
45,Italy,Droite,IDG,2
51,Spain,Centre,REG,2
46,France,Centre,REG,2
60,France,Centre-droit,Greens/EFA,1
65,Portugal,Droite,EPP,2
50,Italy,Droite,IDG,2
44,Germany,Centre,EPP,2
35,Italy,Centre,NI,1
68,Spain,Droite,EPP,2
38,Germany,Gauche,Greens/EFA,1
33,Italy,Droite,IDG,2
31,Portugal,Centre-droit,S&D,1
58,France,Centre,REG,2
35,Netherlands,Centre-droit,S&D,1
38,France,Gauche,The Left,1
45,Czech Republic,Centre,REG,2
56,Belgium,Centre,REG,2
66,Italy,Centre-droit,S&D,1
45,United Kingdom,Centre-droit,Greens/EFA,1
57,Cyprus,Centre,EPP,2
