Age,Country,Party,EPG,Vote
52,Bulgaria,Citizens for European Development of Bulgaria,EPP,1
42,Italy,Forza Italia,EPP,1
57,Italy,Lega,IDG,2
32,Malta,Partit Laburista,S&D,1
71,Spain,Vox,ECR,2
56,Spain,Partido Socialista Obrero Español,S&D,1
52,United Kingdom,Green Party,Greens/EFA,1
68,Bulgaria,Union of Democratic Forces,EPP,1
67,France,Régions et Peuples Solidaires,Greens/EFA,1
39,Bulgaria,Movement for Rights and Freedoms,REG,1
56,United Kingdom,Scottish National Party,Greens/EFA,1
67,Portugal,Partido Social Democrata,EPP,1
59,Latvia,Gods kalpot Rīgai,S&D,1
58,United Kingdom,Sinn Féin,None,1
34,Germany,Bündnis 90/Die Grünen,Greens/EFA,1
60,France,Parti Socialiste,S&D,1
36,France,Rassemblement national,IDG,1
41,Greece,PASOK-KINAL,S&D,1
62,Belgium,Vlaams Belang,IDG,1
64,Estonia,Eesti Reformierakond,REG,1
67,Hungary,Demokratikus Koalíció,S&D,1
54,Belgium,Parti Socialiste,S&D,1
50,Spain,Partido Popular,EPP,1
46,Belgium,Christlich Soziale Partei,EPP,1
49,Poland,Platforma Obywatelska,EPP,1
47,Romania,Uniunea Salvați România,REG,1
56,Greece,Coalition of the Radical Left,The Left,1
53,Greece,Nea Demokratia,EPP,1
31,France,La France Insoumise,The Left,1
75,Denmark,Socialistisk Folkeparti,Greens/EFA,1
57,Lithuania,Lietuvos Respublikos liberalų sąjūdis,REG,1
54,Romania,Partidul Social Democrat,S&D,1
44,Netherlands,Volkspartij voor Vrijheid en Democratie,REG,1
50,Italy,Lega,IDG,2
47,Poland,,S&D,1
25,France,Rassemblement national,IDG,1
52,Germany,Sozialdemokratische Partei Deutschlands,S&D,1
55,Spain,EH BILDU,The Left,1
64,Italy,Partito Democratico,S&D,1
69,Romania,Partidul Mișcarea Populară,EPP,1
53,Italy,Lega,IDG,2
50,Spain,Ciudadanos – Partido de la Ciudadanía,REG,1
43,France,,NI,1
71,United Kingdom,Liberal Democrats,REG,1
55,Germany,Alternative für Deutschland,IDG,1
50,Germany,Freie Demokratische Partei,REG,1
49,Italy,Movimento 5 Stelle,NI,1
40,France,Rassemblement national,IDG,1
68,Poland,,S&D,1
35,France,Les Républicains,EPP,1
45,Romania,Partidul Social Democrat,S&D,1
34,Italy,Partito Democratico,S&D,1
38,Spain,Partido Popular,EPP,1
66,United Kingdom,Liberal Democrats,REG,1
52,Slovakia,SMER-Sociálna demokracia,S&D,1
