Age,Country,Party,EPG,Vote
41,Italy,Droite,EPP,3
56,Italy,Droite,IDG,2
70,Spain,Droite,ECR,2
51,United Kingdom,Centre-droit,Greens/EFA,1
55,United Kingdom,Centre-droit,Greens/EFA,1
58,Latvia,Centre,S&D,3
59,France,Centre-droit,S&D,3
35,France,Droite,IDG,2
61,Belgium,Droite,IDG,2
63,Estonia,Centre,REG,2
66,Hungary,Centre-droit,S&D,3
53,Belgium,Centre-droit,S&D,1
49,Spain,Droite,EPP,2
48,Poland,Centre,EPP,1
55,Greece,Gauche,The Left,1
30,France,Gauche,The Left,1
74,Denmark,Gauche,Greens/EFA,1
56,Lithuania,Centre,REG,2
43,Netherlands,Centre,REG,2
49,Italy,Droite,IDG,2
46,Poland,NA,S&D,1
24,France,Droite,IDG,2
51,Germany,Centre-droit,S&D,3
52,Italy,Droite,IDG,2
48,Italy,Centre,NI,3
33,Italy,Centre-droit,S&D,3
51,Slovakia,Centre-droit,S&D,3
36,Netherlands,Droite,EPP,2
43,Poland,NA,S&D,1
58,Spain,Centre,REG,2
44,Slovakia,Centre,EPP,2
58,Germany,Centre-droit,S&D,3
52,France,Centre-droit,Greens/EFA,1
47,Italy,Droite,IDG,2
33,Germany,Gauche,Greens/EFA,1
31,Germany,Centre-droit,Greens/EFA,1
33,France,Gauche,The Left,1
39,Italy,Droite,IDG,2
48,Croatia,Centre-droit,S&D,3
39,Belgium,Gauche,The Left,1
33,Romania,Centre,REG,1
68,Belgium,Centre,ECR,2
42,Germany,Gauche,Greens/EFA,1
52,Slovenia,Centre-droit,S&D,1
34,Belgium,Gauche,Greens/EFA,1
78,Germany,Centre-droit,Greens/EFA,2
49,Romania,Centre,EPP,2
63,Germany,Centre-droit,S&D,3
41,Romania,Centre,EPP,2
66,Germany,Gauche,Greens/EFA,1
44,Spain,Droite,ECR,2
50,Spain,Centre,REG,2
59,France,Centre-droit,Greens/EFA,1
42,Ireland,Gauche,None,1
51,Malta,Droite,EPP,2
49,Italy,Droite,IDG,2
34,Italy,Centre,NI,3
37,Germany,Gauche,Greens/EFA,1
32,Italy,Droite,IDG,2
30,Portugal,Centre-droit,S&D,2
37,France,Gauche,The Left,1
55,Belgium,Centre,REG,2
44,United Kingdom,Centre-droit,Greens/EFA,1
56,Cyprus,Centre,EPP,2
50,Romania,Centre-droit,S&D,3
51,Italy,Droite,IDG,2
64,United Kingdom,Centre-droit,S&D,3
45,France,Centre-droit,Greens/EFA,1
52,Romania,Centre-droit,S&D,3
56,Ireland,Centre-droit,Greens/EFA,1
61,Netherlands,Centre,EPP,2
51,Ireland,Droite,The Left,2
37,Sweden,Centre-droit,S&D,3
48,France,Droite,EPP,2
66,Italy,Droite,IDG,2
49,United Kingdom,Droite,NI,2
42,France,Centre-droit,Greens/EFA,1
42,Hungary,Droite,NI,2
40,France,Centre-droit,Greens/EFA,1
43,United Kingdom,Droite,NI,2
64,Belgium,Droite,IDG,2
35,Germany,Gauche,The Left,1
43,Germany,Gauche,Greens/EFA,1
56,Belgium,Centre-droit,Greens/EFA,1
43,Czech Republic,Centre,REG,2
47,Hungary,Centre-droit,S&D,3
61,United Kingdom,Centre,NI,2
50,Italy,NA,NI,2
50,Italy,Centre,EPP,2
40,Bulgaria,Droite,ECR,2
43,Netherlands,Centre-droit,Greens/EFA,1
55,United Kingdom,Droite,NI,3
41,Sweden,Centre,REG,2
54,Germany,Centre-droit,EPP,2
41,Portugal,Droite,The Left,1
57,Germany,Droite,IDG,3
43,Italy,Droite,ECR,2
47,Croatia,Centre-droit,REG,2
62,Poland,Centre,ECR,2
53,Germany,Gauche,Greens/EFA,1
35,Germany,Gauche,Greens/EFA,1
59,Sweden,Centre-droit,S&D,1
50,Spain,Centre-droit,S&D,3
31,Austria,Centre,REG,2
47,Italy,Droite,IDG,2
42,Spain,Centre-droit,S&D,3
42,Spain,Centre-droit,S&D,3
45,Spain,Centre-droit,S&D,3
65,Germany,Centre-droit,S&D,3
51,Germany,Gauche,Greens/EFA,1
58,Germany,Centre-droit,S&D,3
56,Cyprus,Gauche,The Left,1
45,Greece,Gauche,The Left,1
43,Spain,Centre-droit,S&D,3
47,Spain,Centre-droit,S&D,3
55,Spain,Droite,EPP,2
55,Italy,Droite,IDG,2
65,Romania,Centre,S&D,3
26,Czech Republic,Centre-droit,Greens/EFA,1
57,United Kingdom,Centre-droit,S&D,3
53,Italy,Centre-droit,S&D,3
57,France,Centre-droit,S&D,3
43,Portugal,Gauche,The Left,1
40,Sweden,Centre-droit,S&D,3
42,Hungary,Centre,NI,2
47,Hungary,Droite,NI,2
