Age,Country,Party,EPG,Vote
47,Poland,NA,EPP,2
52,Bulgaria,Centre-droit,EPP,2
42,Italy,Droite,EPP,1
57,Italy,Droite,IDG,3
32,Malta,Centre-droit,S&D,1
71,Spain,Droite,ECR,2
56,Spain,Centre-droit,S&D,1
52,United Kingdom,Centre-droit,Greens/EFA,1
68,Bulgaria,Droite,EPP,2
67,France,Gauche,Greens/EFA,1
39,Bulgaria,Centre,REG,2
56,United Kingdom,Centre-droit,Greens/EFA,1
59,Latvia,Centre,S&D,1
52,Germany,Droite,IDG,2
58,United Kingdom,Gauche,None,1
34,Germany,Gauche,Greens/EFA,1
60,France,Centre-droit,S&D,1
36,France,Droite,IDG,2
41,Greece,Centre-droit,S&D,1
62,Belgium,Droite,IDG,3
64,Estonia,Centre,REG,2
54,Belgium,Centre-droit,S&D,1
50,Spain,Droite,EPP,2
46,Belgium,Centre,EPP,1
47,Romania,Centre,REG,2
56,Greece,Gauche,The Left,1
53,Greece,Centre,EPP,1
31,France,Gauche,The Left,1
75,Denmark,Gauche,Greens/EFA,1
57,Lithuania,Centre,REG,2
54,Romania,Centre-droit,S&D,1
44,Netherlands,Centre,REG,2
50,Italy,Droite,IDG,3
47,Poland,NA,S&D,1
25,France,Droite,IDG,2
52,Germany,Centre-droit,S&D,1
55,Spain,Gauche,The Left,1
64,Italy,Centre-droit,S&D,1
69,Romania,Centre,EPP,2
53,Italy,Droite,IDG,3
50,Spain,Centre,REG,2
43,France,NA,NI,2
71,United Kingdom,Centre,REG,2
55,Germany,Droite,IDG,2
50,Germany,Centre,REG,2
49,Italy,Centre,NI,1
40,France,Droite,IDG,2
68,Poland,NA,S&D,1
35,France,Droite,EPP,2
45,Romania,Centre-droit,S&D,1
34,Italy,Centre-droit,S&D,1
38,Spain,Droite,EPP,2
66,United Kingdom,Centre,REG,2
52,Slovakia,Centre-droit,S&D,1
44,Germany,Centre,EPP,2
37,Netherlands,Droite,EPP,2
54,Germany,Droite,ECR,2
51,Germany,Centre,EPP,2
55,Sweden,Centre-droit,S&D,1
28,Austria,Centre-droit,EPP,2
44,Poland,NA,S&D,1
46,Poland,NA,ECR,3
50,France,Centre,REG,2
59,Spain,Centre,REG,2
45,Slovakia,Centre,EPP,2
67,France,Droite,IDG,2
59,Germany,Centre-droit,S&D,1
53,France,Centre-droit,Greens/EFA,1
48,Italy,Droite,IDG,3
48,Sweden,Gauche,The Left,1
64,Romania,Centre,EPP,2
65,Czech Republic,Droite,IDG,3
60,Lithuania,Centre-droit,S&D,1
34,Germany,Gauche,Greens/EFA,1
